"Unix.Timestamp","UTC_Date_._Time","Central.Standard.Time","Battery","Temperature","Dissolved.Oxygen","Dissolved.Oxygen.Saturation","Q"
"(Second)","(none)","(none)","(Volt)","(deg C)","(mg/l)","(%)","(none)"
"1656512100","2022-06-29 14:15:00","2022-06-29 09:15:00","3.53","23.02","8.064",NA,"0.987"
"1656512700","2022-06-29 14:25:00","2022-06-29 09:25:00","3.53","22.878","8.102",NA,"0.986"
"1656513300","2022-06-29 14:35:00","2022-06-29 09:35:00","3.53","22.895","8.111",NA,"0.987"
"1656513900","2022-06-29 14:45:00","2022-06-29 09:45:00","3.53","22.962","8.098",NA,"0.986"
"1656514500","2022-06-29 14:55:00","2022-06-29 09:55:00","3.54","23.699","8.021",NA,"0.986"
"1656515100","2022-06-29 15:05:00","2022-06-29 10:05:00","3.54","21.681","8.185",NA,"0.988"
"1656515700","2022-06-29 15:15:00","2022-06-29 10:15:00","3.54","21.121","8.177",NA,"0.987"
"1656516300","2022-06-29 15:25:00","2022-06-29 10:25:00","3.54","20.945","8.158",NA,"0.988"
"1656516900","2022-06-29 15:35:00","2022-06-29 10:35:00","3.54","20.811","8.138",NA,"0.988"
"1656517500","2022-06-29 15:45:00","2022-06-29 10:45:00","3.54","20.752","8.105",NA,"0.987"
"1656518100","2022-06-29 15:55:00","2022-06-29 10:55:00","3.54","20.761","8.08",NA,"0.987"
"1656518700","2022-06-29 16:05:00","2022-06-29 11:05:00","3.54","20.786","8.059",NA,"0.987"
"1656519300","2022-06-29 16:15:00","2022-06-29 11:15:00","3.54","20.786","8.052",NA,"0.987"
"1656519900","2022-06-29 16:25:00","2022-06-29 11:25:00","3.54","20.803","8.035",NA,"0.987"
"1656520500","2022-06-29 16:35:00","2022-06-29 11:35:00","3.54","20.836","8.024",NA,"0.987"
"1656521100","2022-06-29 16:45:00","2022-06-29 11:45:00","3.53","20.836","8.016",NA,"0.987"
"1656521700","2022-06-29 16:55:00","2022-06-29 11:55:00","3.53","20.87","7.987",NA,"0.986"
"1656522300","2022-06-29 17:05:00","2022-06-29 12:05:00","3.53","20.844","7.972",NA,"0.987"
"1656522900","2022-06-29 17:15:00","2022-06-29 12:15:00","3.53","20.819","7.951",NA,"0.986"
