tube,species,mean_temp,temp_var,temp_id,resource,male,removed,KBP,missing,mortality_day,lifespan,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,notes
75,daphnia,20,6,6V,1,,,,,5/1/22,26,,92,,,1,188,1,
76,daphnia,20,6,6V,1,,,,,4/28/22,23,,94,,,1,194,1,
77,daphnia,20,6,6V,1,,,,1,NA,NA,4/25/22,NA,,,NA,NA,,
78,daphnia,20,6,6V,1,,,,,5/4/22,29,,90,,,1,182,1,
79,daphnia,20,6,6V,1,,1,,,NA,NA,5/18/22,89,1,-1,0,NA,,
80,daphnia,20,6,6V,1,1,,,,NA,NA,4/30/22,60,,,0,NA,,
81,daphnia,20,6,6V,1,,,,,4/21/22,16,,87,,,1,197,0,
82,daphnia,20,6,6V,1,,1,,,NA,NA,5/18/22,82,1,-1,0,NA,,
83,daphnia,20,6,6V,1,,,,,4/25/22,20,,89,,,1,92,1,
84,daphnia,20,6,6V,1,,,,,4/25/22,20,,87,,,1,79,1,
85,daphnia,20,6,6V,1,,,,,4/28/22,23,,88,,,1,142,1,
86,daphnia,20,6,6V,1,,1,,,NA,NA,5/18/22,87,1,-2,0,NA,,
87,daphnia,20,6,6V,1,,,,,5/23/22,48,,84,1,-2,0,NA,,
88,daphnia,20,6,6V,1,,,,,5/23/22,48,,84,1,-2,0,NA,,
89,daphnia,20,6,6V,1,,1,,,NA,NA,5/23/22,100,1,-1,0,NA,,
90,daphnia,20,6,6V,1,,,,,5/22/22,47,,95,1,-1,0,NA,,
91,daphnia,20,6,6V,1,,1,,,NA,NA,5/23/22,86,1,-2,0,NA,,
92,daphnia,20,6,6V,1,,1,,,NA,NA,5/23/22,100,1,-1,0,NA,,
93,daphnia,20,6,6V,1,,,,,5/23/22,48,,84,1,-2,0,NA,,
94,daphnia,20,6,6V,1,,,,,5/20/22,45,,83,1,-2,0,NA,,
95,daphnia,20,6,6V,1,,1,,,NA,NA,5/23/22,79,1,-2,0,NA,,
96,daphnia,20,6,6V,1,1,1,,,NA,NA,4/30/22,64,,,0,NA,,
97,daphnia,20,6,6V,1,,1,,,NA,NA,5/23/22,88,1,-2,0,NA,,
98,daphnia,20,6,6V,1,,,,,5/22/22,47,,80,1,-2,0,NA,,
99,daphnia,20,6,6V,1,,,,,5/22/22,47,,86,1,-2,0,NA,,
100,daphnia,20,6,6V,1,,1,,,NA,NA,5/23/22,81,1,-2,0,NA,,
101,daphnia,20,14,14V,1,,,,,5/1/22,26,,85,,,1,190,1,
102,daphnia,20,14,14V,1,,,,,4/30/22,25,,92,,,1,175,1,
103,daphnia,20,14,14V,1,,,,,4/27/22,22,,NA,,,1,55,1,SPORE YIELD LOW. JUST HEAD GROUND
104,daphnia,20,14,14V,1,,,,1,NA,NA,4/10/22,NA,,,NA,NA,,
105,daphnia,20,14,14V,1,,1,,,NA,NA,5/18/22,99,1,-1,0,NA,,
106,daphnia,20,14,14V,1,,,,,4/22/22,17,,89,,,1,134,1,
107,daphnia,20,14,14V,1,,,,,4/29/22,24,,NA,,,1,142,1,
108,daphnia,20,14,14V,1,,,,,4/24/22,19,,85,,,1,49,1,
109,daphnia,20,14,14V,1,,,,,4/24/22,19,,92,,,1,68,1,
110,daphnia,20,14,14V,1,1,,,,4/24/22,19,,NA,,,1,NA,,
111,daphnia,20,14,14V,1,,1,,,NA,NA,5/18/22,83,1,-2,0,NA,,
112,daphnia,20,14,14V,1,,,,,4/24/22,19,,NA,,,1,NA,,Spore yield unreliable
113,daphnia,20,14,14V,1,,,,,4/24/22,19,,92,,,1,NA,,
114,daphnia,20,14,14V,1,,,,,4/19/22,14,,87,,,1,213,1,
115,daphnia,20,14,14V,1,,1,,,NA,NA,5/18/22,84,1,-2,0,NA,,
116,daphnia,20,14,14V,1,,,,,4/27/22,22,,90,,,1,131,1,
117,daphnia,20,14,14V,1,,,,,4/26/22,21,,83,,,1,67,1,
118,daphnia,20,14,14V,1,,,,,4/27/22,22,,86,,,1,110,1,
119,daphnia,20,14,14V,1,,,,,4/26/22,21,,86,,,1,98,1,
120,daphnia,20,14,14V,1,,,,,4/30/22,25,,88,,,1,139,1,
121,daphnia,20,14,14V,1,,,,,4/23/22,18,,75,,,1,69,1,
122,daphnia,20,14,14V,1,,,,,4/24/22,19,,80,,,1,77,1,
123,daphnia,20,14,14V,1,1,,,,4/25/22,20,,61,,,1,27,1,
124,daphnia,20,14,14V,1,,,,,4/29/22,24,,96,,,1,188,1,
125,daphnia,20,14,14V,1,,,,,4/26/22,21,,87,,,1,115,1,
126,daphnia,20,14,14V,1,,,,,4/22/22,17,,70,,,1,87,1,
127,daphnia,20,14,14V,1,,,,,4/30/22,25,,91,,,1,202,1,
128,daphnia,20,14,14V,1,1,,,,4/21/22,16,,60,,,1,39,1,
129,daphnia,20,14,14V,1,,,,,5/3/22,28,,90,,,1,200,1,
130,daphnia,20,14,14V,1,,,,,4/22/22,17,,82,,,1,86,1,
131,daphnia,20,14,14V,1,,,,,4/25/22,20,,79,,,1,80,1,
132,daphnia,20,14,14V,1,,,,,4/24/22,19,,86,,,1,111,1,
133,daphnia,20,14,14V,1,,,,,4/23/22,18,,82,,,1,79,1,
134,daphnia,20,14,14V,1,,,,,4/24/22,19,,87,,,1,23,1,
135,daphnia,20,14,14V,1,,,,,5/15/22,40,,81,1,-2,0,NA,,
136,daphnia,20,14,14V,1,,,1,,NA,NA,5/7/22,100,1,1,0,NA,,
137,daphnia,20,14,14V,1,,,,,5/23/22,48,,79,1,-2,0,NA,,
138,daphnia,20,14,14V,1,,,,,5/23/22,48,,87,1,-2,0,NA,,
139,daphnia,20,14,14V,1,,1,,,NA,NA,5/23/22,83,1,-2,0,NA,,
140,daphnia,20,14,14V,1,,1,,,NA,NA,5/23/22,81,,,0,NA,,
141,daphnia,20,14,14V,1,,,,,5/17/22,42,,NA,,,0,NA,,
142,daphnia,20,14,14V,1,1,1,,,NA,NA,4/30/22,58,,,0,NA,,
143,daphnia,20,14,14V,1,,,,1,NA,NA,5/2/22,NA,,,NA,NA,,
