tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,length
136,14V,1,D,0,NA,NA,1,NA,NA,5/7/22,100,1,1,0,NA,NA,2
693,20,1,C,1,NA,NA,NA,NA,4/21/22,NA,31,NA,NA,0,0,0,0.55366
668,20,1,C,1,NA,NA,NA,NA,4/23/22,NA,32,NA,NA,1,48,0,0.57152
673,20,1,C,1,NA,NA,NA,NA,4/30/22,NA,32,NA,NA,1,41,0,0.57152
685,20,1,C,1,NA,NA,NA,NA,4/20/22,NA,32,NA,NA,1,18,0,0.57152
750,25,1,C,1,NA,NA,NA,NA,4/19/22,NA,32,NA,NA,1,41,0,0.57152
172,15,0.1,D,1,NA,NA,NA,NA,4/12/22,NA,33,NA,NA,NA,NA,NA,0.58938
672,20,1,C,1,NA,NA,NA,NA,4/20/22,NA,33,NA,NA,1,15,1,0.58938
692,20,1,C,1,NA,NA,NA,NA,4/23/22,NA,33,NA,NA,1,43,0,0.58938
720,25,1,C,1,NA,NA,NA,NA,4/19/22,NA,33,NA,NA,1,33,0,0.58938
728,25,1,C,1,NA,NA,NA,NA,4/18/22,NA,33,NA,NA,1,33,0,0.58938
740,25,1,C,1,NA,NA,NA,NA,4/19/22,NA,33,NA,NA,1,15,0,0.58938
625,15,1,C,1,NA,NA,NA,NA,4/21/22,NA,34,NA,NA,0,NA,NA,0.60724
629,15,1,C,1,NA,NA,NA,NA,4/29/22,NA,34,NA,NA,1,4,0,0.60724
643,15,1,C,1,1,1,NA,NA,NA,5/1/22,34,NA,NA,0,NA,NA,0.60724
159,15,0.1,D,0,NA,NA,NA,NA,4/15/22,NA,35,NA,NA,NA,NA,NA,0.6251
205,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,35,NA,NA,NA,NA,NA,0.6251
305,15,1,D,1,NA,NA,NA,NA,4/14/22,NA,35,NA,NA,NA,NA,NA,0.6251
