no ,treatment,exposed,temperature,meantemp,realtemp,replicate,death,lastday,infect,no_spore,size,comment
387,FLU,U,22,25,24.13,15,08/05/2019,1,0,0,37,
388,FLU,U,22,25,24.13,16,08/05/2019,1,0,0,35,
390,FLU,U,22,25,24.13,18,08/05/2019,1,0,0,39,
410,PULSE,U,22,22,22.35,2,08/05/2019,1,0,0,39,
411,PULSE,U,22,22,22.35,3,08/05/2019,1,0,0,37,
412,PULSE,U,22,22,22.35,4,08/05/2019,1,0,0,39,
413,PULSE,U,22,22,22.35,5,08/05/2019,1,0,0,39,
414,PULSE,U,22,22,22.35,6,08/05/2019,1,0,0,40,
418,PULSE,U,22,22,22.35,10,08/05/2019,1,0,0,41,
420,PULSE,U,22,22,22.35,12,08/05/2019,1,0,0,39,
421,PULSE,U,22,22,22.35,13,08/05/2019,1,0,0,40,
422,PULSE,U,22,22,22.35,14,08/05/2019,1,0,0,39,
423,PULSE,U,22,22,22.35,15,08/05/2019,1,0,0,40,
425,PULSE,U,22,22,22.35,17,08/05/2019,1,0,0,40,
426,PULSE,U,22,22,22.35,18,08/05/2019,1,0,0,40,
