date,plate,resource,temp,well_number,sample,read
3/6/2023,2,0.1,15,30,23,4338
3/6/2023,2,0.1,15,31,23,4729
3/6/2023,2,0.1,15,32,0,2645
3/6/2023,2,0.1,15,33,28,4173
3/6/2023,2,0.1,15,34,28,4430
3/6/2023,2,0.1,15,35,28,6523
3/6/2023,2,0.1,15,36,0,2640
3/6/2023,2,0.1,15,37,19,4255
3/6/2023,2,0.1,15,38,19,5543
3/6/2023,2,0.1,15,39,19,5937
3/6/2023,2,0.1,15,40,0,2746
3/6/2023,2,0.1,15,41,24,5570
3/6/2023,2,0.1,15,42,24,3632
3/6/2023,2,0.1,15,43,24,6691
3/6/2023,2,0.1,15,44,0,2669
3/6/2023,2,0.1,15,45,29,1532
3/6/2023,2,0.1,15,46,29,4198
3/6/2023,2,0.1,15,47,29,4512
3/6/2023,2,0.1,15,48,0,2689
3/6/2023,2,0.1,15,49,20,3695
3/6/2023,2,0.1,15,50,20,5206
3/6/2023,2,0.1,15,51,20,5991
3/6/2023,2,0.1,15,52,0,2686
3/6/2023,2,0.1,15,53,25,5996
3/6/2023,2,0.1,15,54,25,3695
3/6/2023,2,0.1,15,55,25,3941
3/6/2023,2,0.1,15,56,0,2474
3/6/2023,2,0.1,15,57,30,3692
3/6/2023,2,0.1,15,58,30,3597
3/6/2023,2,0.1,15,59,30,4222
3/6/2023,2,0.1,15,60,0,2683
3/6/2023,2,0.1,15,61,C1,3717
3/6/2023,2,0.1,15,62,C1,3464
3/6/2023,2,0.1,15,63,C1,3273
3/6/2023,2,0.1,15,64,0,2507
3/6/2023,2,0.1,15,65,C2,3349
3/6/2023,2,0.1,15,66,C2,3266
3/6/2023,2,0.1,15,67,C2,3158
3/6/2023,2,0.1,15,68,0,2576
3/6/2023,2,0.1,15,69,C3,3377
3/6/2023,2,0.1,15,70,C3,3273
3/6/2023,2,0.1,15,71,C3,5110
3/6/2023,2,0.1,15,72,0,2825
3/6/2023,2,0.1,15,73,C4,3664
3/6/2023,2,0.1,15,74,C4,5118
3/6/2023,2,0.1,15,75,C4,3536
3/6/2023,2,0.1,15,76,0,2669
3/6/2023,2,0.1,15,77,C5,5190
3/6/2023,2,0.1,15,78,C5,4092
3/6/2023,2,0.1,15,79,C5,4934
3/6/2023,2,0.1,15,80,0,2629
3/6/2023,2,0.1,15,81,C6,5199
3/6/2023,2,0.1,15,82,C6,5954
3/6/2023,2,0.1,15,83,C6,4346
3/6/2023,2,0.1,15,84,0,2730
3/6/2023,2,0.1,15,85,R,3812
3/6/2023,2,0.1,15,86,R,3735
3/6/2023,2,0.1,15,87,R,3659
3/6/2023,2,0.1,15,88,0,2760
3/6/2023,2,0.1,15,89,R,3730
3/6/2023,2,0.1,15,90,R,3553
3/6/2023,2,0.1,15,91,R,3708
3/6/2023,2,0.1,15,92,0,2738
3/6/2023,2,0.1,15,93,R,3542
3/6/2023,2,0.1,15,94,R,3865
3/6/2023,2,0.1,15,95,R,3955
3/6/2023,2,0.1,15,96,0,2756
3/6/2023,3,0.5,15,1,31,5053
3/6/2023,3,0.5,15,2,31,4381
3/6/2023,3,0.5,15,3,31,5734
3/6/2023,3,0.5,15,4,0,2239
3/6/2023,3,0.5,15,5,36,4108
3/6/2023,3,0.5,15,6,36,4284
3/6/2023,3,0.5,15,7,36,4249
3/6/2023,3,0.5,15,8,0,2600
3/6/2023,3,0.5,15,9,41,3903
3/6/2023,3,0.5,15,10,41,3628
3/6/2023,3,0.5,15,11,41,6398
3/6/2023,3,0.5,15,12,0,2629
3/6/2023,3,0.5,15,13,32,1467
3/6/2023,3,0.5,15,14,32,1807
3/6/2023,3,0.5,15,15,32,3170
3/6/2023,3,0.5,15,16,0,2583
3/6/2023,3,0.5,15,17,37,1831
3/6/2023,3,0.5,15,18,37,2156
3/6/2023,3,0.5,15,19,37,3174
3/6/2023,3,0.5,15,20,0,2449
3/6/2023,3,0.5,15,21,42,2010
3/6/2023,3,0.5,15,22,42,2701
3/6/2023,3,0.5,15,23,42,3010
3/6/2023,3,0.5,15,24,0,2700
3/6/2023,3,0.5,15,25,33,4514
3/6/2023,3,0.5,15,26,33,5858
3/6/2023,3,0.5,15,27,33,3968
3/6/2023,3,0.5,15,28,0,2515
3/6/2023,3,0.5,15,29,38,4951
3/6/2023,3,0.5,15,30,38,4463
3/6/2023,3,0.5,15,31,38,671
3/6/2023,3,0.5,15,32,0,2540
3/6/2023,3,0.5,15,33,43,5293
3/6/2023,3,0.5,15,34,43,3104
3/6/2023,3,0.5,15,35,43,2069
3/6/2023,3,0.5,15,36,0,2605
3/6/2023,3,0.5,15,37,34,5763
3/6/2023,3,0.5,15,38,34,2945
3/6/2023,3,0.5,15,39,34,5139
3/6/2023,3,0.5,15,40,0,2555
3/6/2023,3,0.5,15,41,39,5553
3/6/2023,3,0.5,15,42,39,4390
3/6/2023,3,0.5,15,43,39,3272
3/6/2023,3,0.5,15,44,0,2525
3/6/2023,3,0.5,15,45,44,5141
3/6/2023,3,0.5,15,46,44,4339
3/6/2023,3,0.5,15,47,44,4253
3/6/2023,3,0.5,15,48,0,2570
3/6/2023,3,0.5,15,49,35,5602
3/6/2023,3,0.5,15,50,35,3712
3/6/2023,3,0.5,15,51,35,2511
3/6/2023,3,0.5,15,52,0,2587
3/6/2023,3,0.5,15,53,40,7780
3/6/2023,3,0.5,15,54,40,5383
3/6/2023,3,0.5,15,55,40,3788
3/6/2023,3,0.5,15,56,0,2538
3/6/2023,3,0.5,15,57,45,3282
3/6/2023,3,0.5,15,58,45,3213
3/6/2023,3,0.5,15,59,45,3321
3/6/2023,3,0.5,15,60,0,2388
3/6/2023,3,0.5,15,61,C1,4162
3/6/2023,3,0.5,15,62,C1,4292
3/6/2023,3,0.5,15,63,C1,4158
3/6/2023,3,0.5,15,64,0,2587
3/6/2023,3,0.5,15,65,C2,4107
3/6/2023,3,0.5,15,66,C2,3876
3/6/2023,3,0.5,15,67,C2,4145
3/6/2023,3,0.5,15,68,0,2627
3/6/2023,3,0.5,15,69,C3,3870
3/6/2023,3,0.5,15,70,C3,3803
3/6/2023,3,0.5,15,71,C3,3884
3/6/2023,3,0.5,15,72,0,2558
3/6/2023,3,0.5,15,73,C4,6534
3/6/2023,3,0.5,15,74,C4,5749
3/6/2023,3,0.5,15,75,C4,5326
3/6/2023,3,0.5,15,76,0,2634
3/6/2023,3,0.5,15,77,C5,5569
3/6/2023,3,0.5,15,78,C5,3765
3/6/2023,3,0.5,15,79,C5,4101
3/6/2023,3,0.5,15,80,0,2638
3/6/2023,3,0.5,15,81,C6,5428
3/6/2023,3,0.5,15,82,C6,3051
3/6/2023,3,0.5,15,83,C6,6156
3/6/2023,3,0.5,15,84,0,2555
3/6/2023,3,0.5,15,85,R,3458
3/6/2023,3,0.5,15,86,R,3575
3/6/2023,3,0.5,15,87,R,3293
3/6/2023,3,0.5,15,88,0,2640
3/6/2023,3,0.5,15,89,R,3581
3/6/2023,3,0.5,15,90,R,3425
3/6/2023,3,0.5,15,91,R,3637
3/6/2023,3,0.5,15,92,0,2663
3/6/2023,3,0.5,15,93,R,3205
3/6/2023,3,0.5,15,94,R,3248
3/6/2023,3,0.5,15,95,R,3307
3/6/2023,3,0.5,15,96,0,2755
3/6/2023,4,0.5,15,1,46,2496
3/6/2023,4,0.5,15,2,46,4850
3/6/2023,4,0.5,15,3,46,7025
3/6/2023,4,0.5,15,4,0,2652
3/6/2023,4,0.5,15,5,51,4431
3/6/2023,4,0.5,15,6,51,4609
3/6/2023,4,0.5,15,7,51,4195
3/6/2023,4,0.5,15,8,0,2648
3/6/2023,4,0.5,15,9,56,4815
3/6/2023,4,0.5,15,10,56,5110
3/6/2023,4,0.5,15,11,56,4745
3/6/2023,4,0.5,15,12,0,2621
3/6/2023,4,0.5,15,13,47,7976
3/6/2023,4,0.5,15,14,47,9527
3/6/2023,4,0.5,15,15,47,6265
3/6/2023,4,0.5,15,16,0,2610
3/6/2023,4,0.5,15,17,52,3440
3/6/2023,4,0.5,15,18,52,4630
3/6/2023,4,0.5,15,19,52,4455
3/6/2023,4,0.5,15,20,0,2563
3/6/2023,4,0.5,15,21,57,4946
3/6/2023,4,0.5,15,22,57,4977
3/6/2023,4,0.5,15,23,57,5514
3/6/2023,4,0.5,15,24,0,2807
3/6/2023,4,0.5,15,25,48,6130
3/6/2023,4,0.5,15,26,48,7695
3/6/2023,4,0.5,15,27,48,6914
3/6/2023,4,0.5,15,28,0,2579
3/6/2023,4,0.5,15,29,53,5077
3/6/2023,4,0.5,15,30,53,4451
3/6/2023,4,0.5,15,31,53,4482
3/6/2023,4,0.5,15,32,0,2665
3/6/2023,4,0.5,15,33,58,6273
3/6/2023,4,0.5,15,34,58,5446
3/6/2023,4,0.5,15,35,58,6181
3/6/2023,4,0.5,15,36,0,2532
3/6/2023,4,0.5,15,37,49,4977
3/6/2023,4,0.5,15,38,49,8070
3/6/2023,4,0.5,15,39,49,6837
3/6/2023,4,0.5,15,40,0,2721
3/6/2023,4,0.5,15,41,54,5141
3/6/2023,4,0.5,15,42,54,5087
3/6/2023,4,0.5,15,43,54,4654
3/6/2023,4,0.5,15,44,0,2583
3/6/2023,4,0.5,15,45,59,5962
3/6/2023,4,0.5,15,46,59,5950
3/6/2023,4,0.5,15,47,59,6876
3/6/2023,4,0.5,15,48,0,2602
3/6/2023,4,0.5,15,49,50,5453
3/6/2023,4,0.5,15,50,50,5114
3/6/2023,4,0.5,15,51,50,7362
3/6/2023,4,0.5,15,52,0,2819
3/6/2023,4,0.5,15,53,55,7096
3/6/2023,4,0.5,15,54,55,7064
3/6/2023,4,0.5,15,55,55,6974
3/6/2023,4,0.5,15,56,0,2748
3/6/2023,4,0.5,15,57,60,4463
3/6/2023,4,0.5,15,58,60,4124
3/6/2023,4,0.5,15,59,60,4752
3/6/2023,4,0.5,15,60,0,2624
3/6/2023,4,0.5,15,61,C1,4319
3/6/2023,4,0.5,15,62,C1,4354
3/6/2023,4,0.5,15,63,C1,3753
3/6/2023,4,0.5,15,64,0,2667
3/6/2023,4,0.5,15,65,C2,4081
3/6/2023,4,0.5,15,66,C2,3980
3/6/2023,4,0.5,15,67,C2,3863
3/6/2023,4,0.5,15,68,0,2738
3/6/2023,4,0.5,15,69,C3,11122
3/6/2023,4,0.5,15,70,C3,4002
3/6/2023,4,0.5,15,71,C3,3866
3/6/2023,4,0.5,15,72,0,2640
3/6/2023,4,0.5,15,73,C4,7099
3/6/2023,4,0.5,15,74,C4,4949
3/6/2023,4,0.5,15,75,C4,5230
3/6/2023,4,0.5,15,76,0,2900
3/6/2023,4,0.5,15,77,C5,5722
3/6/2023,4,0.5,15,78,C5,6456
3/6/2023,4,0.5,15,79,C5,7651
3/6/2023,4,0.5,15,80,0,2718
3/6/2023,4,0.5,15,81,C6,5875
3/6/2023,4,0.5,15,82,C6,5315
3/6/2023,4,0.5,15,83,C6,5748
3/6/2023,4,0.5,15,84,0,2591
3/6/2023,4,0.5,15,85,R,3670
3/6/2023,4,0.5,15,86,R,5230
3/6/2023,4,0.5,15,87,R,3555
3/6/2023,4,0.5,15,88,0,2563
3/6/2023,4,0.5,15,89,R,3389
3/6/2023,4,0.5,15,90,R,3325
3/6/2023,4,0.5,15,91,R,3752
3/6/2023,4,0.5,15,92,0,2670
