plate,well,sample,size,resource,temp,read
4,36,C8,na,1,25,5466
4,45,C9,na,1,25,6440
4,46,C9,na,1,25,6358
4,47,C9,na,1,25,6811
4,48,C9,na,1,25,6498
8,73,TT,na,0.1,25,3314
8,74,TT,na,0.1,25,3733
8,75,TT,na,0.1,25,3669
8,77,TT,na,0.1,25,3851
8,78,TT,na,0.1,25,3598
8,79,TT,na,0.1,25,3625
4,73,TT,na,1,25,3615
4,74,TT,na,1,25,3644
4,75,TT,na,1,25,3661
4,77,TT,na,1,25,3819
4,78,TT,na,1,25,6028
4,79,TT,na,1,25,5207
4,81,TT,na,1,25,2370
4,82,TT,na,1,25,2629
4,83,TT,na,1,25,2627
4,84,TT,na,1,25,2572
